time,truePosition_x,truePosition_y,truePosition_z,trueVelocity_x,trueVelocity_y,trueVelocity_z,estimatedPosition_x,estimatedPosition_y,estimatedPosition_z,estimatedVelocity_x,estimatedVelocity_y,estimatedVelocity_z
0,-0.0364523,-0.405233,0.48562,-1.59155,0.795775,0.795775,-0.0364523,-0.405233,0.48562,0,0,0
0.0333333,-0.0808513,-0.429036,0.46753,-1.58283,0.935489,0.647341,-0.0771548,-0.427054,0.469036,-0.00123217,-0.000660593,-0.000502057
0.0666667,-0.136491,-0.327193,0.531457,-1.55677,1.06495,0.491816,-0.116991,-0.360041,0.510924,-0.0732667,0.120682,0.0753504
0.1,-0.10978,-0.316402,0.543646,-1.51365,1.18275,0.330902,-0.113019,-0.329694,0.53351,-0.0471459,0.227882,0.157099
0.133333,-0.245069,-0.267965,0.483534,-1.45395,1.28759,0.166362,-0.203779,-0.285095,0.501006,-0.549307,0.436218,-0.0553943
0.166667,-0.302825,-0.292057,0.520582,-1.37832,1.37832,2.92363e-16,-0.278466,-0.285569,0.514119,-0.91658,0.338403,0.0420617
0.2,-0.259932,-0.205689,0.533624,-1.28759,1.45395,-0.166362,-0.274324,-0.225802,0.528316,-0.674439,0.676805,0.131362
0.233333,-0.352856,-0.185357,0.513671,-1.18275,1.51365,-0.330902,-0.336674,-0.190521,0.519163,-0.962087,0.768585,0.0337356
0.266667,-0.386608,-0.0812646,0.479287,-1.06495,1.55677,-0.491816,-0.381491,-0.10522,0.491031,-1.05556,1.20619,-0.180794
0.3,-0.417644,-0.0855682,0.442999,-0.935489,1.58283,-0.647341,-0.417368,-0.0797042,0.454983,-1.06067,1.09762,-0.402676
0.333333,-0.409006,-0.018345,0.475976,-0.795775,1.59155,-0.795775,-0.421454,-0.0253983,0.466177,-0.828661,1.22908,-0.220031
0.366667,-0.497896,0.102362,0.442043,-0.647341,1.58283,-0.935489,-0.484009,0.0776735,0.446822,-1.08834,1.69073,-0.30939
0.4,-0.519293,0.131704,0.37554,-0.491816,1.55677,-1.06495,-0.519575,0.132366,0.392875,-1.08305,1.67834,-0.634054
0.433333,-0.479175,0.11914,0.310006,-0.330902,1.51365,-1.18275,-0.500921,0.138802,0.327554,-0.675439,1.30979,-0.962975
0.466667,-0.548709,0.159699,0.288649,-0.166362,1.45395,-1.28759,-0.541526,0.166169,0.290583,-0.810136,1.18848,-0.999251
0.5,-0.510807,0.25206,0.2827,-4.50849e-16,1.37832,-1.37832,-0.527212,0.238908,0.275474,-0.502457,1.43514,-0.863726
0.533333,-0.461743,0.328529,0.226633,0.166362,1.28759,-1.45395,-0.485109,0.316654,0.232331,-0.0641882,1.65786,-0.970609
0.566667,-0.545254,0.360056,0.170946,0.330902,1.18275,-1.51365,-0.528769,0.363427,0.179196,-0.373398,1.59464,-1.12537
0.6,-0.486208,0.403873,0.112705,0.491816,1.06495,-1.55677,-0.50184,0.407485,0.12094,-0.0801585,1.52689,-1.27985
0.633333,-0.425132,0.44067,0.00473213,0.647341,0.935489,-1.58283,-0.447691,0.445704,0.0256333,0.34301,1.43248,-1.67192
0.666667,-0.406609,0.470818,0.0440074,0.795775,0.795775,-1.59155,-0.415035,0.47725,0.0229476,0.501062,1.31181,-1.27688
