time,truePosition_x,truePosition_y,truePosition_z,trueVelocity_x,trueVelocity_y,trueVelocity_z,estimatedPosition_x,estimatedPosition_y,estimatedPosition_z,estimatedVelocity_x,estimatedVelocity_y,estimatedVelocity_z
0,-0.0364523,-0.405233,0.48562,-1.59155,0.795775,0.795775,-0.0364523,-0.405233,0.48562,0,0,0
0.0333333,-0.0808513,-0.429036,0.46753,-1.58283,0.935489,0.647341,-0.0771548,-0.427054,0.469036,-0.00123217,-0.000660593,-0.000502057
0.0666667,-0.136491,-0.327193,0.531457,-1.55677,1.06495,0.491816,-0.116328,-0.361158,0.510225,-0.0152274,0.0229145,0.014235
0.1,-0.10978,-0.316402,0.543646,-1.51365,1.18275,0.330902,-0.112385,-0.332642,0.531484,-0.0120231,0.0428943,0.0291981
0.133333,-0.245069,-0.267965,0.483534,-1.45395,1.28759,0.166362,-0.196161,-0.291349,0.501622,-0.0982528,0.0841224,-0.00269287
0.166667,-0.302825,-0.292057,0.520582,-1.37832,1.37832,2.92363e-16,-0.264915,-0.290769,0.513597,-0.183771,0.0812176,0.0130648
0.2,-0.259932,-0.205689,0.533624,-1.28759,1.45395,-0.166362,-0.26397,-0.235632,0.526502,-0.17286,0.162131,0.032309
0.233333,-0.352856,-0.185357,0.513671,-1.18275,1.51365,-0.330902,-0.322876,-0.201541,0.518687,-0.265865,0.212336,0.016748
0.266667,-0.386608,-0.0812646,0.479287,-1.06495,1.55677,-0.491816,-0.366954,-0.121811,0.493599,-0.333797,0.352481,-0.0327233
0.3,-0.417644,-0.0855682,0.442999,-0.935489,1.58283,-0.647341,-0.403558,-0.0942888,0.460627,-0.38685,0.385326,-0.0991153
0.333333,-0.409006,-0.018345,0.475976,-0.795775,1.59155,-0.795775,-0.411643,-0.0406959,0.469369,-0.376208,0.475495,-0.0724593
0.366667,-0.497896,0.102362,0.442043,-0.647341,1.58283,-0.935489,-0.4719,0.0574995,0.450828,-0.48704,0.666761,-0.109914
0.4,-0.519293,0.131704,0.37554,-0.491816,1.55677,-1.06495,-0.508345,0.113441,0.400707,-0.535842,0.748175,-0.222096
0.433333,-0.479175,0.11914,0.310006,-0.330902,1.51365,-1.18275,-0.495649,0.125879,0.339184,-0.459716,0.717032,-0.356922
0.466667,-0.548709,0.159699,0.288649,-0.166362,1.45395,-1.28759,-0.535525,0.156234,0.302148,-0.522437,0.733519,-0.421141
0.5,-0.510807,0.25206,0.2827,-4.50849e-16,1.37832,-1.37832,-0.525496,0.227176,0.284586,-0.450895,0.854716,-0.430326
0.533333,-0.461743,0.328529,0.226633,0.166362,1.28759,-1.45395,-0.489161,0.303172,0.241809,-0.314792,0.980591,-0.505665
0.566667,-0.545254,0.360056,0.170946,0.330902,1.18275,-1.51365,-0.529407,0.351647,0.189714,-0.394676,1.02298,-0.60028
0.6,-0.486208,0.403873,0.112705,0.491816,1.06495,-1.55677,-0.505768,0.397581,0.132489,-0.29483,1.0551,-0.701268
0.633333,-0.425132,0.44067,0.00473213,0.647341,0.935489,-1.58283,-0.456501,0.437924,0.0409276,-0.133084,1.06926,-0.887898
0.666667,-0.406609,0.470818,0.0440074,0.795775,0.795775,-1.59155,-0.425433,0.47177,0.0326855,-0.0352294,1.06431,-0.829042
