time,truePosition_x,truePosition_y,truePosition_z,trueVelocity_x,trueVelocity_y,trueVelocity_z,estimatedPosition_x,estimatedPosition_y,estimatedPosition_z,estimatedVelocity_x,estimatedVelocity_y,estimatedVelocity_z
0,-0.0364523,-0.405233,0.48562,-1.59155,0.795775,0.795775,-0.0364523,-0.405233,0.48562,0,0,0
0.0333333,-0.0808513,-0.429036,0.46753,-1.58283,0.935489,0.647341,-0.0660571,-0.421105,0.473558,-0.00049314,-0.000264384,-0.000200934
0.0666667,-0.136491,-0.327193,0.531457,-1.55677,1.06495,0.491816,-0.110115,-0.362373,0.509767,-0.00254418,0.0024712,0.00148568
0.1,-0.10978,-0.316402,0.543646,-1.51365,1.18275,0.330902,-0.10994,-0.333845,0.530787,-0.0025236,0.00472209,0.00314506
0.133333,-0.245069,-0.267965,0.483534,-1.45395,1.28759,0.166362,-0.193674,-0.292978,0.501557,-0.0118819,0.00927655,-0.000136756
0.166667,-0.302825,-0.292057,0.520582,-1.37832,1.37832,2.92363e-16,-0.261466,-0.292289,0.513345,-0.0216113,0.00933128,0.00156567
0.2,-0.259932,-0.205689,0.533624,-1.28759,1.45395,-0.166362,-0.260789,-0.23847,0.52594,-0.0213646,0.0187735,0.0037789
0.233333,-0.352856,-0.185357,0.513671,-1.18275,1.51365,-0.330902,-0.318187,-0.205276,0.518375,-0.0331619,0.0255515,0.00217833
0.266667,-0.386608,-0.0812646,0.479287,-1.06495,1.55677,-0.491816,-0.361089,-0.127953,0.494132,-0.0431618,0.0438474,-0.00363917
0.3,-0.417644,-0.0855682,0.442999,-0.935489,1.58283,-0.647341,-0.396772,-0.101066,0.462317,-0.0524016,0.0507079,-0.0121909
0.333333,-0.409006,-0.018345,0.475976,-0.795775,1.59155,-0.795775,-0.405038,-0.049,0.470655,-0.0543561,0.0658093,-0.00956957
0.366667,-0.497896,0.102362,0.442043,-0.647341,1.58283,-0.935489,-0.463487,0.0459857,0.452736,-0.0729931,0.0963438,-0.0153611
0.4,-0.519293,0.131704,0.37554,-0.491816,1.55677,-1.06495,-0.499141,0.100552,0.404494,-0.0848745,0.114711,-0.0324317
0.433333,-0.479175,0.11914,0.310006,-0.330902,1.51365,-1.18275,-0.487773,0.113571,0.34524,-0.0794019,0.118255,-0.0548564
0.466667,-0.548709,0.159699,0.288649,-0.166362,1.45395,-1.28759,-0.526742,0.143801,0.309286,-0.0943868,0.1291,-0.0689347
0.5,-0.510807,0.25206,0.2827,-4.50849e-16,1.37832,-1.37832,-0.517992,0.212919,0.291845,-0.0891661,0.157542,-0.0755799
0.533333,-0.461743,0.328529,0.226633,0.166362,1.28759,-1.45395,-0.484021,0.287014,0.250217,-0.0720147,0.189504,-0.093737
0.566667,-0.545254,0.360056,0.170946,0.330902,1.18275,-1.51365,-0.523141,0.334976,0.199567,-0.0899661,0.209864,-0.116972
0.6,-0.486208,0.403873,0.112705,0.491816,1.06495,-1.55677,-0.501204,0.380626,0.143862,-0.077183,0.22968,-0.14353
0.633333,-0.425132,0.44067,0.00473213,0.647341,0.935489,-1.58283,-0.454644,0.421011,0.0551463,-0.0508693,0.247209,-0.18848
0.666667,-0.406609,0.470818,0.0440074,0.795775,0.795775,-1.59155,-0.425257,0.455232,0.0458284,-0.0335368,0.261696,-0.190173
0.7,-0.418586,0.455124,-0.0448591,0.935489,0.647341,-1.58283,-0.421504,0.458433,-0.0132543,-0.0307179,0.2585,-0.220701
0.733333,-0.410676,0.507984,-0.132314,1.06495,0.491816,-1.55677,-0.415114,0.492657,-0.090489,-0.0262754,0.273843,-0.262569
0.766667,-0.308012,0.544388,-0.173305,1.18275,0.330902,-1.51365,-0.348414,0.528447,-0.145592,0.0155308,0.290337,-0.291245
0.8,-0.317792,0.455185,-0.234331,1.28759,0.166362,-1.45395,-0.329049,0.486198,-0.204779,0.0275429,0.257243,-0.32278
0.833333,-0.212566,0.541453,-0.207801,1.37832,2.92363e-16,-1.37832,-0.255753,0.524009,-0.210693,0.074964,0.276398,-0.319605
0.866667,-0.178165,0.552577,-0.341016,1.45395,-0.166362,-1.28759,-0.206209,0.545348,-0.296323,0.106589,0.284549,-0.370006
