time,truePosition_x,truePosition_y,truePosition_z,trueVelocity_x,trueVelocity_y,trueVelocity_z,estimatedPosition_x,estimatedPosition_y,estimatedPosition_z,estimatedVelocity_x,estimatedVelocity_y,estimatedVelocity_z
0,-0.00729046,-0.432033,0.448111,-1.59155,0.795775,0.795775,-0.00729046,-0.432033,0.448111,0,0,0
0.0333333,-0.0585341,-0.413689,0.463752,-1.58283,0.935489,0.647341,-0.0341452,-0.42242,0.456308,-0.00081296,0.00029102,0.000248139
0.0666667,-0.111562,-0.366624,0.49174,-1.55677,1.06495,0.491816,-0.067017,-0.398734,0.47135,-0.151486,0.108904,0.0692169
0.1,-0.147196,-0.334469,0.505158,-1.51365,1.18275,0.330902,-0.107024,-0.36689,0.488315,-0.490027,0.382133,0.211159
0.133333,-0.213858,-0.291813,0.499771,-1.45395,1.28759,0.166362,-0.171778,-0.3208,0.497717,-1.03934,0.760522,0.237976
0.166667,-0.263207,-0.261054,0.509401,-1.37832,1.37832,2.92363e-16,-0.23902,-0.275704,0.507803,-1.40965,0.984824,0.262442
0.2,-0.290207,-0.205982,0.509789,-1.28759,1.45395,-0.166362,-0.28847,-0.221247,0.512587,-1.43704,1.2255,0.218331
0.233333,-0.34176,-0.162311,0.499163,-1.18275,1.51365,-0.330902,-0.339539,-0.169766,0.507695,-1.47185,1.34234,0.0845901
0.266667,-0.378507,-0.100516,0.481306,-1.06495,1.55677,-0.491816,-0.382674,-0.110633,0.493365,-1.40697,1.49985,-0.103158
0.3,-0.411411,-0.0594774,0.458846,-0.935489,1.58283,-0.647341,-0.418919,-0.0599574,0.471693,-1.29035,1.5073,-0.302731
0.333333,-0.432788,-0.00366899,0.446182,-0.795775,1.59155,-0.795775,-0.444838,-0.00616842,0.452558,-1.10315,1.54613,-0.401784
0.366667,-0.469825,0.0628361,0.416291,-0.647341,1.58283,-0.935489,-0.474697,0.0556149,0.425748,-1.02742,1.65839,-0.548792
0.4,-0.489307,0.110604,0.376293,-0.491816,1.55677,-1.06495,-0.497425,0.110724,0.389174,-0.901185,1.65652,-0.749108
0.433333,-0.492263,0.149068,0.33319,-0.330902,1.51365,-1.18275,-0.506813,0.156042,0.346009,-0.674882,1.54804,-0.948497
0.466667,-0.512806,0.196784,0.29595,-0.166362,1.45395,-1.28759,-0.519627,0.201272,0.303573,-0.568787,1.47822,-1.06706
0.5,-0.507446,0.253054,0.259182,-4.50849e-16,1.37832,-1.37832,-0.520317,0.252018,0.262828,-0.368586,1.49435,-1.12377
0.533333,-0.495413,0.303926,0.210171,0.166362,1.28759,-1.45395,-0.510784,0.30306,0.216452,-0.129494,1.50783,-1.22148
0.566667,-0.505479,0.3432,0.159429,0.330902,1.18275,-1.51365,-0.509456,0.347383,0.166169,-0.0676364,1.44276,-1.32632
0.6,-0.48269,0.38196,0.106804,0.491816,1.06495,-1.55677,-0.494685,0.387546,0.113068,0.118932,1.35587,-1.42375
0.633333,-0.455272,0.416016,0.0433102,0.647341,0.935489,-1.58283,-0.469923,0.422929,0.0525268,0.346824,1.24835,-1.56711
0.666667,-0.432309,0.44515,0.00880148,0.795775,0.795775,-1.59155,-0.443077,0.453165,0.00528353,0.514323,1.12369,-1.51239
0.7,-0.411599,0.461271,-0.0513356,0.935489,0.647341,-1.58283,-0.417524,0.473402,-0.0487705,0.606473,0.934999,-1.55229
0.733333,-0.38332,0.487045,-0.110726,1.06495,0.491816,-1.55677,-0.389102,0.494288,-0.106505,0.696398,0.822346,-1.61794
0.766667,-0.332791,0.505306,-0.159901,1.18275,0.330902,-1.51365,-0.34647,0.512081,-0.160122,0.90918,0.716953,-1.6145
0.8,-0.301779,0.494101,-0.21171,1.28759,0.166362,-1.45395,-0.307725,0.51141,-0.212632,1.00166,0.447718,-1.60017
0.833333,-0.245156,0.513575,-0.244203,1.37832,2.92363e-16,-1.37832,-0.257216,0.518849,-0.2532,1.18926,0.365691,-1.46023
0.866667,-0.200477,0.51358,-0.306424,1.45395,-0.166362,-1.28759,-0.207544,0.520796,-0.304543,1.29918,0.253451,-1.48948
0.9,-0.150678,0.497425,-0.33433,1.51365,-0.330902,-1.18275,-0.156282,0.510577,-0.342539,1.38635,0.0488906,-1.36178
0.933333,-0.101425,0.485407,-0.378635,1.55677,-0.491816,-1.06495,-0.104998,0.496484,-0.382478,1.44194,-0.123398,-1.30201
0.966667,-0.0517236,0.456969,-0.409305,1.58283,-0.647341,-0.935489,-0.0538769,0.471601,-0.416155,1.47543,-0.350992,-1.19547
1,-0.00191583,0.435789,-0.436877,1.59155,-0.795775,-0.795775,-0.00306487,0.445755,-0.444783,1.4933,-0.506008,-1.0725
1.03333,0.0500816,0.419152,-0.469719,1.58283,-0.935489,-0.647341,0.0486889,0.423176,-0.474188,1.51497,-0.568598,-1.00298
1.06667,0.103227,0.374227,-0.477272,1.55677,-1.06495,-0.491816,0.101558,0.386625,-0.489815,1.54094,-0.761436,-0.807868
1.1,0.154321,0.347535,-0.496813,1.51365,-1.18275,-0.330902,0.153743,0.353201,-0.505051,1.54993,-0.849566,-0.67973
1.13333,0.213309,0.300183,-0.51144,1.45395,-1.28759,-0.166362,0.210043,0.310391,-0.518164,1.60073,-1.00836,-0.575138
1.16667,0.252742,0.250107,-0.506009,1.37832,-1.37832,-4.87271e-16,0.257147,0.261131,-0.518957,1.5322,-1.17983,-0.373745
1.2,0.302098,0.215823,-0.499421,1.28759,-1.45395,0.166362,0.304628,0.218295,-0.512644,1.49284,-1.21828,-0.168058
1.23333,0.347237,0.15666,-0.49437,1.18275,-1.51365,0.330902,0.350193,0.16535,-0.504238,1.44685,-1.35345,-0.0145589
1.26667,0.376545,0.104579,-0.480879,1.06495,-1.55677,0.491816,0.385587,0.11105,-0.490734,1.30621,-1.45411,0.138737
1.3,0.408804,0.0600438,-0.460723,0.935489,-1.58283,0.647341,0.417204,0.0610918,-0.471216,1.17556,-1.47041,0.301947
1.33333,0.438704,0.00959851,-0.448047,0.795775,-1.59155,0.795775,0.446014,0.0106234,-0.453463,1.06186,-1.48635,0.386189
1.36667,0.472348,-0.055691,-0.406262,0.647341,-1.58283,0.935489,0.476093,-0.04876,-0.42045,1.0036,-1.59416,0.60688
1.4,0.478736,-0.0982118,-0.38558,0.491816,-1.55677,1.06495,0.49147,-0.0997356,-0.391632,0.805522,-1.57046,0.701005
1.43333,0.498738,-0.151551,-0.346326,0.330902,-1.51365,1.18275,0.506832,-0.151771,-0.355393,0.679624,-1.56703,0.84205
1.46667,0.513478,-0.214148,-0.302122,0.166362,-1.45395,1.28759,0.520094,-0.209956,-0.312539,0.57671,-1.63223,1.00408
1.5,0.512648,-0.261752,-0.250755,2.92363e-16,-1.37832,1.37832,0.523671,-0.262831,-0.262458,0.405252,-1.61544,1.18611
1.53333,0.493993,-0.29417,-0.205377,-0.166362,-1.28759,1.45395,0.511842,-0.303473,-0.212628,0.127606,-1.47073,1.2989
1.56667,0.494309,-0.344995,-0.16379,-0.330902,-1.18275,1.51365,0.503314,-0.348096,-0.16608,-0.0124622,-1.42249,1.33453
1.6,0.479458,-0.371233,-0.11452,-0.491816,-1.06495,1.55677,0.489146,-0.381268,-0.117444,-0.163161,-1.2664,1.38002
1.63333,0.457867,-0.409757,-0.0465026,-0.647341,-0.935489,1.58283,0.468547,-0.41543,-0.0568112,-0.329288,-1.17817,1.54036
1.66667,0.448368,-0.432264,-0.00396345,-0.795775,-0.795775,1.59155,0.452172,-0.441538,-0.00458437,-0.388451,-1.03392,1.55002
1.7,0.400812,-0.467851,0.0538359,-0.935489,-0.647341,1.58283,0.416688,-0.47122,0.0510448,-0.635396,-0.981516,1.59344
1.73333,0.384236,-0.484934,0.0959947,-1.06495,-0.491816,1.55677,0.388895,-0.492788,0.0993692,-0.707862,-0.859347,1.54095
1.76667,0.332243,-0.487988,0.150756,-1.18275,-0.330902,1.51365,0.345906,-0.501811,0.150747,-0.92038,-0.644331,1.54109
1.8,0.293231,-0.503982,0.200524,-1.28759,-0.166362,1.45395,0.302322,-0.511962,0.201182,-1.06179,-0.520206,1.53085
1.83333,0.253109,-0.497507,0.256342,-1.37832,-4.87271e-16,1.37832,0.258821,-0.510648,0.254634,-1.15064,-0.315798,1.55741
1.86667,0.211205,-0.505126,0.298833,-1.45395,0.166362,1.28759,0.215033,-0.511759,0.302022,-1.21017,-0.212619,1.50781
1.9,0.147613,-0.499085,0.337085,-1.51365,0.330902,1.18275,0.158806,-0.507253,0.343366,-1.38428,-0.0855753,1.41011
1.93333,0.113498,-0.475628,0.371647,-1.55677,0.491816,1.06495,0.113153,-0.489878,0.379386,-1.37891,0.136076,1.28974
1.96667,0.0455517,-0.462941,0.407423,-1.58283,0.647341,0.935489,0.0544948,-0.4722,0.413604,-1.51802,0.280091,1.1936
2,0.0043694,-0.442977,0.441202,-1.59155,0.795775,0.795775,0.004173,-0.451197,0.44624,-1.51496,0.407936,1.11525
2.03333,-0.0467173,-0.413603,0.460522,-1.58283,0.935489,0.647341,-0.0465554,-0.423521,0.469984,-1.51748,0.562205,0.968069
2.06667,-0.108451,-0.370166,0.485197,-1.55677,1.06495,0.491816,-0.103775,-0.384473,0.492246,-1.59021,0.784738,0.858416
2.1,-0.158961,-0.339816,0.491608,-1.51365,1.18275,0.330902,-0.158061,-0.347462,0.503698,-1.60422,0.903668,0.670355
2.13333,-0.197844,-0.298003,0.508946,-1.45395,1.28759,0.166362,-0.203502,-0.305995,0.516013,-1.5162,1.02798,0.560441
2.16667,-0.261142,-0.255431,0.51401,-1.37832,1.37832,3.50934e-15,-0.258208,-0.262167,0.522559,-1.56184,1.13276,0.427462
2.2,-0.300558,-0.197713,0.504707,-1.28759,1.45395,-0.166362,-0.304572,-0.208747,0.517974,-1.49941,1.30438,0.221088
2.23333,-0.346183,-0.162552,0.504514,-1.18275,1.51365,-0.330902,-0.349642,-0.163674,0.513123,-1.44561,1.32184,0.0871719
2.26667,-0.366679,-0.110528,0.472141,-1.06495,1.55677,-0.491816,-0.379554,-0.114283,0.490281,-1.24535,1.38025,-0.19498
2.3,-0.41208,-0.047361,0.46234,-0.935489,1.58283,-0.647341,-0.415794,-0.0560049,0.471202,-1.18758,1.5147,-0.332823
2.33333,-0.437931,-0.00963098,0.446737,-0.795775,1.59155,-0.795775,-0.445143,-0.00792975,0.452264,-1.0754,1.48824,-0.418783
2.36667,-0.468918,0.0606747,0.408677,-0.647341,1.58283,-0.935489,-0.473907,0.0528232,0.420922,-0.997793,1.61037,-0.609252
2.4,-0.488854,0.100119,0.382475,-0.491816,1.55677,-1.06495,-0.496423,0.102757,0.389972,-0.880062,1.56933,-0.72587
2.43333,-0.496075,0.148346,0.341877,-0.330902,1.51365,-1.18275,-0.508344,0.151125,0.351755,-0.689229,1.52612,-0.879519
2.46667,-0.501169,0.207743,0.302309,-0.166362,1.45395,-1.28759,-0.51363,0.205367,0.310628,-0.495406,1.56307,-1.00893
2.5,-0.509513,0.256911,0.257449,-4.87271e-16,1.37832,-1.37832,-0.51804,0.257142,0.265529,-0.362773,1.55948,-1.1346
2.53333,-0.510584,0.29045,0.205046,0.166362,1.28759,-1.45395,-0.518664,0.298169,0.214413,-0.237098,1.43942,-1.28029
2.56667,-0.504694,0.344933,0.149901,0.330902,1.18275,-1.51365,-0.513735,0.345436,0.158926,-0.0964796,1.4316,-1.42067
2.6,-0.475187,0.372981,0.108445,0.491816,1.06495,-1.55677,-0.492448,0.381319,0.109737,0.172018,1.3019,-1.44077
2.63333,-0.464404,0.415491,0.0452186,0.647341,0.935489,-1.58283,-0.473625,0.419304,0.0520352,0.315451,1.24259,-1.54679
2.66667,-0.428863,0.432365,0.00525863,0.795775,0.795775,-1.59155,-0.443018,0.444086,0.00328163,0.535623,1.06028,-1.51604
2.7,-0.414534,0.45769,-0.06094,0.935489,0.647341,-1.58283,-0.418928,0.466675,-0.055283,0.603957,0.920523,-1.60403
2.73333,-0.379595,0.477443,-0.0959565,1.06495,0.491816,-1.55677,-0.387531,0.485675,-0.101245,0.727397,0.792486,-1.52178
2.76667,-0.34471,0.497654,-0.162019,1.18275,0.330902,-1.51365,-0.352387,0.503621,-0.157866,0.84681,0.699671,-1.58638
2.8,-0.303977,0.501862,-0.207789,1.28759,0.166362,-1.45395,-0.312319,0.512229,-0.209011,0.976563,0.538425,-1.56738
2.83333,-0.2599,0.502587,-0.250574,1.37832,6.8218e-16,-1.37832,-0.268111,0.51399,-0.254989,1.10429,0.361057,-1.4987
2.86667,-0.213024,0.509216,-0.290096,1.45395,-0.166362,-1.28759,-0.220578,0.516163,-0.296234,1.2218,0.252989,-1.40323
2.9,-0.147365,0.485897,-0.337329,1.51365,-0.330902,-1.18275,-0.160792,0.501892,-0.339676,1.43065,0.00419263,-1.36672
2.93333,-0.0999922,0.478367,-0.3839,1.55677,-0.491816,-1.06495,-0.105412,0.488148,-0.384451,1.51494,-0.147946,-1.35815
2.96667,-0.0571155,0.46975,-0.415238,1.58283,-0.647341,-0.935489,-0.0562054,0.475316,-0.421224,1.50079,-0.234521,-1.26502
3,3.94877e-05,0.428766,-0.448483,1.59155,-0.795775,-0.795775,-0.00253075,0.444774,-0.454645,1.54077,-0.483531,-1.16917
3.03333,0.0486865,0.401827,-0.465112,1.58283,-0.935489,-0.647341,0.048745,0.412916,-0.476894,1.53986,-0.656018,-0.985917
3.06667,0.102436,0.380881,-0.490502,1.55677,-1.06495,-0.491816,0.10146,0.385083,-0.498461,1.55505,-0.721385,-0.862122
3.1,0.156827,0.337465,-0.491739,1.51365,-1.18275,-0.330902,0.155367,0.347208,-0.506395,1.57776,-0.872929,-0.63416
3.13333,0.201134,0.295806,-0.508541,1.45395,-1.28759,-0.166362,0.203955,0.305025,-0.516391,1.53388,-1.01632,-0.512059
3.16667,0.261988,0.252753,-0.504388,1.37832,-1.37832,-3.70425e-15,0.259135,0.260356,-0.516403,1.57826,-1.13457,-0.325157
3.2,0.297544,0.206346,-0.50893,1.28759,-1.45395,0.166362,0.303412,0.213038,-0.516499,1.48697,-1.23867,-0.207432
3.23333,0.335646,0.156597,-0.493614,1.18275,-1.51365,0.330902,0.342809,0.162859,-0.50593,1.37554,-1.33607,-0.0158562
3.26667,0.372685,0.114589,-0.487163,1.06495,-1.55677,0.491816,0.379288,0.116133,-0.495138,1.27283,-1.36008,0.108198
3.3,0.414791,0.0494054,-0.466443,0.935489,-1.58283,0.647341,0.417653,0.0582467,-0.476812,1.22831,-1.49761,0.269492
