time,truePosition_x,truePosition_y,truePosition_z,trueVelocity_x,trueVelocity_y,trueVelocity_z,estimatedPosition_x,estimatedPosition_y,estimatedPosition_z,estimatedVelocity_x,estimatedVelocity_y,estimatedVelocity_z
0,-0.0364523,-0.405233,0.48562,-1.59155,0.795775,0.795775,-0.0364523,-0.405233,0.48562,0,0,0
0.0333333,-0.0808513,-0.429036,0.46753,-1.58283,0.935489,0.647341,-0.0597201,-0.417707,0.47614,-0.000704374,-0.000377631,-0.000287003
0.0666667,-0.136491,-0.327193,0.531457,-1.55677,1.06495,0.491816,-0.0893298,-0.382822,0.497459,-0.00459583,0.00421247,0.00251832
0.1,-0.10978,-0.316402,0.543646,-1.51365,1.18275,0.330902,-0.0961781,-0.360819,0.51275,-0.00664361,0.0108994,0.00716968
0.133333,-0.245069,-0.267965,0.483534,-1.45395,1.28759,0.166362,-0.141898,-0.33215,0.503975,-0.0307401,0.0258904,0.00239552
0.166667,-0.302825,-0.292057,0.520582,-1.37832,1.37832,2.92363e-16,-0.190402,-0.319638,0.508962,-0.0674822,0.0349047,0.00619327
0.2,-0.259932,-0.205689,0.533624,-1.28759,1.45395,-0.166362,-0.212511,-0.285184,0.516387,-0.0876531,0.0687181,0.013525
0.233333,-0.352856,-0.185357,0.513671,-1.18275,1.51365,-0.330902,-0.256258,-0.253918,0.515897,-0.138314,0.104675,0.0123577
0.266667,-0.386608,-0.0812646,0.479287,-1.06495,1.55677,-0.491816,-0.298681,-0.199558,0.505176,-0.192846,0.17804,-0.00369835
0.3,-0.417644,-0.0855682,0.442999,-0.935489,1.58283,-0.647341,-0.339431,-0.160667,0.486127,-0.248346,0.23133,-0.0343017
0.333333,-0.409006,-0.018345,0.475976,-0.795775,1.59155,-0.795775,-0.366668,-0.111322,0.482197,-0.281825,0.304852,-0.039221
0.366667,-0.497896,0.102362,0.442043,-0.647341,1.58283,-0.935489,-0.414233,-0.0373956,0.468719,-0.354,0.42542,-0.0622343
0.4,-0.519293,0.131704,0.37554,-0.491816,1.55677,-1.06495,-0.455586,0.0258775,0.437775,-0.412943,0.523334,-0.119815
0.433333,-0.479175,0.11914,0.310006,-0.330902,1.51365,-1.18275,-0.472495,0.0675833,0.394173,-0.41948,0.573791,-0.202187
